question_content,answer_content,box_number,last_reviewed
"Conductivité |images_questions/formules/2025_05_27_09_09_19_1748329759_Q.jpg","|images_reponses/formules/2025_05_27_09_09_19_1748329759_R.jpg","",""
"Longueur d'onde |images_questions/formules/2025_05_27_00_21_25_1748298085_Q.jpg","|images_reponses/formules/2025_05_27_00_21_25_1748298085_R.jpg","",""
"Résistance d'un fil |images_questions/formules/2025_05_24_23_31_31_1748122291_Q.jpg","|images_reponses/formules/2025_05_24_23_31_31_1748122291_R.jpg","",""
"Résistance d'un fil |images_questions/formules/2025_05_24_23_52_17_1748123537_Q.jpg","|images_reponses/formules/2025_05_24_23_52_17_1748123537_R.jpg","",""
"Conductance |images_questions/formules/2025_05_25_01_47_51_1748130471_Q.jpg","|images_reponses/formules/2025_05_25_01_47_51_1748130471_R.jpg","",""
"|images_questions/formules/2025_05_22_08_27_33_1747895253_Q.jpg","|images_reponses/formules/2025_05_22_08_27_33_1747895253_R.jpg","",""
"|images_questions/formules/2025_05_22_08_13_32_1747894412_Q.jpg","|images_reponses/formules/2025_05_22_08_13_32_1747894412_R.jpg","",""
"|images_questions/formules/2025_05_22_08_13_10_1747894390_Q.jpg","|images_reponses/formules/2025_05_22_08_13_10_1747894390_R.jpg","",""
"|images_questions/formules/2025_05_22_08_12_46_1747894366_Q.jpg","|images_reponses/formules/2025_05_22_08_12_46_1747894366_R.jpg","",""
"|images_questions/formules/2025_05_22_08_11_51_1747894311_Q.jpg","|images_reponses/formules/2025_05_22_08_11_51_1747894311_R.jpg","",""
"|images_questions/formules/2025_05_22_08_12_05_1747894325_Q.jpg","|images_reponses/formules/2025_05_22_08_12_05_1747894325_R.jpg","",""
"|images_questions/formules/2025_05_22_08_12_18_1747894338_Q.jpg","|images_reponses/formules/2025_05_22_08_12_18_1747894338_R.jpg","",""
